 0031-07  0034-0721  00 34 09.0   0.3    -07 21 59     8     00 31 36.49 -07 38 31
 0148-06  0151-0635  01 51 22.74  0.03   -06 35 03.1   1.1   01 48 52.60 -06 49 51.7
 0149-16  0152-1637  01 52 10.848 0.007  -16 37 52.67  0.16  01 49 46.444  -16 52 39.56
 0203-40  0206-4028  02 06 01.268 0.009  -40 28 04.33  0.14  02 03 57.190  -40 42 21.07
 0254-53  0255-5304  02 55 56.221 0.008  -53 04 21.36  0.08  02 54 24.196  -53 16 244.7
 0403-76  0401-7608  04 01 51.68  0.07   -76 08 13.8   0.3   04 03 15.06 -76 16 25.2
 0447-12  0450-1248  04 50 08.763 0.015  -12 48 07.0   0.4   04 47 49.504  -12 53 12.6
 0450-18  0452-1759  04 52 34.090 0.008  -17 59 23.40  0.14  04 50 21.10   -18 04 18.6
 0523+11  0525+1115  05 25 56.437 0.016  +11 15 20.1   0.8   05 23 09.560  +11 12 45.7
 0538-75  0536-7543  05 36 30.79  0.08   -75 43 56.7   0.2   05 38 18.73 -75 45 35.3
 0727-18  0729-1836  07 29 32.371 0.009  -18 36 42.28  0.17  07 27 19.386  -18 30 25.14
 0736-40  0738-4042  07 38 32.356 0.014  -40 42 40.56  0.16  07 36 50.825  -40 35 46.22
 0740-28  0742-2822  07 42 49.08  0.02   -28 22 44.1   0.4   07 40 47.82 -28 15 33.5
 0808-47  0809-4753  08 09 43.890 0.009  -47 53 55.14  0.09  08 08 12.493  -47 45 00.52
 0818-13  0820-1350  08 20 26.355 0.006  -13 50 55.25  0.15  08 18 06.029  -13 41 23.09
 0818-41  0820-4114  08 20 15.37  0.09   -41 14 35.3   1.0   08 18 29.54 -41 05 02.8
 0835-41  0837-4135  08 37 21.173 0.006  -41 35 14.29  0.07  08 35 33.266  -41 24 42.11
 0905-51  0907-5157  09 07 15.900 0.010  -51 57 59.25  0.10  09 05 40.583  -51 45 50.94
 0940-55  0942-5552  09 42 15.83  0.09   -55 52 52.3   0.9   09 40 37.87 -55 39 07.8
 0941-56  0942-5657  09 42 54.462 0.016  -56 57 43.44  0.14  09 41 18.585  -56 43 57.31
 0942-13  0944-1354  09 44 28.957 0.020  -13 54 41.4   0.4   09 42 04.407  -13 40 52.4
 0959-54  1001-5507  10 01 37.98  0.11   -55 07 06.7   1.1   09 59 51.65 -54 52 37.2
 1054-62  1056-6258  10 56 25.55  0.06   -62 58 47.6   0.4   10 54 27.99 -62 42 45.1
 1133-55  1136-5525  11 36 02.17  0.08   -55 25 08.3   0.8   11 33 38.97 -55 08 32.2
 1154-62  1157-6224  11 57 15.240 0.016  -62 24 50.87  0.13  11 54 43.697  -62 08 08.92
 1221-63  1224-6407  12 24 22.185 0.009  -64 07 53.91  0.07  12 21 34.715  -63 51 16.84
 1240-64  1243-6423  12 43 17.158 0.020  -64 23 23.85  0.13  12 40 18.270  -64 06 58.37
 1317-53  1320-5359  13 20 53.922 0.014  -53 59 06.38  0.18  13 17 49.115  -53 43 23.76
 1358-63  1401-6357  14 01 52.48  0.02   -63 57 45.54  0.19  13 58 10.69   -63 43 17.75
 1424-55  1428-5530  14 28 26.297 0.016  -55 30 50.2   0.2   14 24 54.693 -55 17 26.4
 1426-66  1430-6623  14 30 40.872 0.018  -66 23 05.04  0.14  14 26 35.293  -66 09 46.39
 1449-64  14536413   14 53 32.737 0.010  -64 13 15.59  0.08  14 49 25.287 -64 01 01.16
 1451-68  1456-6843  14 56 00.158 0.014  -68 43 39.25  0.09  14 51 29.026 -68 31 31.57
 1530-53  1534-5334  15 34 08.37  0.02   -53 34 19.3   0.3   15 30 22.47  -53 24 17.1
 1540-06  1543-0620  15 43 30.16  0.03   -06 20 45.8   1.4   15 40 50.34  -06 11 18.8
 1556-44  1559-4438  15 59 41.535 0.004  -44 38 46.11  0.12  15 56 11.062 -44 30 17.27
 1556-57  1600-5751  16 00 19.93  0.04   -57 51 14.7   0.6   15 56 14.75  -57 42 47.2
 1557-50  1600-5044  16 00 53.066 0.018  -50 44 21.2   0.3   15 57 08.866 -50 35 56.4
 1600-49  1604-4909  16 04 22.999 0.012  -49 09 58.34  0.14  16 00 42.02  -49 01 46.9
 1641-45  1644-4559  16 44 49.281 0.019  -45 59 09.5   0.4   16 41 10.339 -45 53 39.1
 1648-42  1651-4246  16 51 48.79  0.08   -42 46 11     2     16 48 16.17   -42 41 10
 1706-16  1709-1640  17 09 26.430 0.014  -16 40 58.4   1.1   17 06 33.194  -16 37 13.0
 1717-29  1720-2933  17 20 34.15  0.02   -29 33 15     2     17 17 23.15 -29 30 16.6
 1718-32  1722-3207  17 22 02.967 0.009  -32 07 44.3   0.6   17 18 47.908  -32 04 52.1
 1742-30  1745-3040  17 45 56.305 0.004  -30 40 22.9   0.4   17 42 43.022  -30 39 14.4
 1747-46  1751-4657  17 51 42.233 0.011  -46 57 24.8   0.2   17 47 57.019  -46 56 40.3
 1749-28  1752-2806  17 52 58.681 0.017  -28 06 37      2    17 49 49.261  - 28 05 59
 1818-04  1820-0427  18 20 52.62  0.02   -04 27 38.4   1.1   18 18 13.65 -04 29 04
 1821-19  1824-1945  18 24 00.49  0.06   -19 45 50     13    18 21 02.82 -19 47 28
 1822-09  1825-0935  18 25 30.652 0.012  -09 35 25.2   0.7   18 22 45.643  -09 37 10.5
 1826-17  1829-1751  18 29 43.121 0.012  -17 51 02.9   1.8   18 26 47.981  -17 53 06.1
 1844-04  1847-0402  18 47 22.834 0.014  -04 02 14.2   0.5   18 44 44.415  -04 05 34.2
 1845-01  1848-0123  18 48 23.60  0.02   -01 23 58.2   0.7   18 45 48.20 -01 27 22.7
 1915+13  1917+1353  19 17 39.82  0.03   +13 53 56.3   0.6   19 15 21.62   +13 48 27.9
 1929+10  1932+1059  19 32 13.874 0.006  +10 59 31.78  0.16  19 29 52.013  +10 53 04.06
 1933+16  1935+1616  19 35 47.834 0.010  +16 16 40.05  0.18  19 33 31.870  +16 09 57.80
 1937-26  1941-2602  19 41 00.34  0.02   -26 02 01     2     19 37 56.89 - 26 09 02
 2045-16  2048-1616  20 48 35.56  0.08   -16 16 48     4     20 45 47.16 -16 27 56
 2327-20  2330-2005  23 30 26.809 0.019  -20 05 28.6   0.5   23 27 49.737  -20 22 01.6
