  0031-07 0034-0721  0.94295100027    12  0.409      13    5.3      28   46468-47233
  0148-06 0151-0635 1.46466445165  4 0.444      3   0.91    20   46468-47335
  0149-16 0152-1637  0.832741452547    6  1.2984      7    0.27     26   46468-47233
  0203-40 0206-4028  0.630550140847    6  1.1994      5    0.36     29   46469-47335
  0254-53 0255-5304  0.447708444058    3  0.0306      3    0.27     29   46469-47364
  0403-76 0401-7608  0.545252742352   16  1.5382     12    1.0      28   46470-47335
  0447-12 0450-1248  0.438014126894   11  0.1033      8    0.71     23   46469-47335
  0450-18 0452-1759  0.548937986023    5  5.7564      4    0.39     30   46468-47364
  0523+11 0525+1115  0.354437585224    7  0.0732      6    0.69     26   46469-47335
  0538-75 0536-7543 1.24585559629  5 0.565      3   0.72    17   46610-47335
  0727-18 0729-1836  0.510155557814   11  19.0066     7    0.43     27   46609-47364
  0736-40 0738-4042 0.374919300996 5 1.6016     4   0.70    37   46468-47366
  0740-28 0742-2822 0.166758621359 8 16.8219    5   1.3     34   46608-47364
  0808-47 0809-4753 0.547199235502 4 3.0825     4   0.36    31   46468-47365
  0818-13 0820-1350 1.238129161193   12  2.1041 9   0.36    31   46470-47365
  0818-41 0820-4114 0.54544553350  4 0.013      5   3.0     21   46468-47149
  0835-41 0837-4135 0.751622117781 9 3.5469     5   0.26    32   46608-47365
  0905-51 0907-5157 0.253556015011 3 1.8303     2   0.38    32   46469-47365
  0940-55 0942-5552 0.66436748807  6 22.854     5   3.4     33   46469-47233
  0941-56 0942-5657 0.808127417142   11  39.6284     11    0.42     24   46470-47149
  0942-13 0944-1354 0.570264114648    10  0.0455      9    0.39     12   46470-47232
  0959-54 1001-5507 1.43658262920 12 51.396    12   4.2     36   46468-47233
  1054-62 1056-6258 0.422447188684    16  3.5757     11    1.7      35    46468-47366
  1133-55 1136-5525 0.36470557624  2 8.2151    15   2.1     21   46468-47366
  1154-62 1157-6224 0.4400522048340    4  3.9313      3    0.42     27    46468-47335
  1221-63 1224-6407 0.2164762031209   14  4.95332     9    0.26     34   46468-47365
  1240-64 1243-6423 0.388480921041 5 4.5006     2   0.55    42   46468-47468
  1317-53 1320-5359 0.279729147244 4 9.2543     2   0.49    28   46468-47365
  1358-63 1401-6357  0.842789632370   14  16.7258     8    0.62     33    46468-47365
  1424-55 1428-5530 0.570290462862 7 2.0805     4   0.43    23   46468-47364
   1426-66 1430-6623  0.785440757324    8  2.7695      5    0.29     16   46468-47365
   1449-64 1453-6413  0.1794847539641   11  2.74610     7    0.31     42   46468-47366
   1451-68 1456-6843  0.2633768148933   19  0.09826     13    0.38     41   46468-47365
   1530-53 1534-5334  1.36888090921     2  1.4260     18    0.51     19   46470-47335
   1540-06 1543-0620  0.70906387025     2  0.8826     14    0.62     11   46470-47365
   1556-44 1559-4438  0.2570560976508   11  1.01916     8    0.19     27   46468-47366
   1556-57 1600-5751  0.194454482247    8  2.1252      4    1.11     21   46470-47366
   1557-50 1600-5044  0.192600176304    3  5.0622      2    0.77     38   46468-47366
   1600-49 1604-4909  0.327417572788   13  1.0194     11    0.77     9    46469-46889
   1641-45 1644-4559  0.455059775403   10  20.0902     6    0.66     23   46523-47365
   1648-42 1651-4246  0.84408066596 9 4.812      5   3.3     27   46523-47364
   1706-16 1709-1640  0.653053865368    8  6.3075      9    0.27     12   46470-47232
   1717-29 1720-2933  0.62044816817 2 0.7432    13   0.97    27   46523-47366
   1718-32 1722-3207  0.477157345417    8  0.6470      4    0.40     29   46546-47366
   1742-30 1745-3040  0.367425906691    3  10.6592     2    0.22     ,30   46546-47366
   1747-46 1751-4657  0.742352395470   10  1.2911      6    0.41     27   46523-47364
   1749-28 1752-2806  0.562557857834   12  8.1394      8    0.59     18   46470-47365
   1818-04 1820-0427  0.59807602125 2 6.3197    17   1.1     17   46470-47365
   1821-19 1824-1945  0.18933359977 2 5.2248    13   1.6     12   46546-47366
   1822-09 1825-0935  0.76897223949 2 52.432     3   0.53    21   46547-47366
   1826-17 1829-1751  0.307131499128    6  5.5619      3    0.49     19   46523-47366
   1844-04 1847-0402  0.597760501935   15  51.7099     10    0.57     18   46547-47366
   1845-01 1848-0123  0.65943059121 3 5.2184    16   0.79    18   46608-47366
   1915+13 1917+1353  0.194629140089    8  7.1984      5    1.3      21   46469-47366
   1929+10 1932+1059  0.226517662811    2  1.15645     13    0.31     22   46469-47366
   1933+16 1935+1616  0.358738600597    4  6.0022      3    0.38     20   46469-47366
   1937-26 1941-2602  0.4402857638289    7  0.9556      4    0.71     30   46470-47366
   2045-16 2048-1616  1.96157266044 2 10.9554   14   0.54    38   46469-47366
   2327-20 2330-2005  1.64362095394 2 4.6258    17   0.59    29   46468-47364
